ar,aldur,eining,tegund,medaltal,tekjur
2000,16 - 24 ára,70,heildartekjur,3409.242202014276,4009.3945159172495
2000,16 - 24 ára,80,heildartekjur,3409.242202014276,4952.042129377418
2000,16 - 24 ára,90,heildartekjur,3409.242202014276,6482.273421894425
2000,16 - 24 ára,99,heildartekjur,3409.242202014276,12141.301261366969
2001,16 - 24 ára,10,heildartekjur,3337.3604327503804,918.5124730843967
2001,16 - 24 ára,20,heildartekjur,3337.3604327503804,1367.4317525340055
2001,16 - 24 ára,30,heildartekjur,3337.3604327503804,1798.630534110603
2001,16 - 24 ára,40,heildartekjur,3337.3604327503804,2223.922483062864
2001,16 - 24 ára,50,heildartekjur,3337.3604327503804,2655.121264639462
2001,16 - 24 ára,60,heildartekjur,3337.3604327503804,3242.851110760989
2001,16 - 24 ára,70,heildartekjur,3337.3604327503804,3990.065437739614
2001,16 - 24 ára,80,heildartekjur,3337.3604327503804,4976.506486003886
2001,16 - 24 ára,90,heildartekjur,3337.3604327503804,6512.282968331494
2001,16 - 24 ára,99,heildartekjur,3337.3604327503804,12038.124888398717
2002,16 - 24 ára,10,heildartekjur,3198.522102792654,772.2507271887443
2002,16 - 24 ára,20,heildartekjur,3198.522102792654,1266.4911925895408
2002,16 - 24 ára,30,heildartekjur,3198.522102792654,1690.5270464277241
2002,16 - 24 ára,40,heildartekjur,3198.522102792654,2122.9874536534207
2002,16 - 24 ára,50,heildartekjur,3198.522102792654,2541.4069385665953
2002,16 - 24 ára,60,heildartekjur,3198.522102792654,3066.537433054941
2002,16 - 24 ára,70,heildartekjur,3198.522102792654,3774.1999176060817
2002,16 - 24 ára,80,heildartekjur,3198.522102792654,4717.749897007602
2002,16 - 24 ára,90,heildartekjur,3198.522102792654,6206.087662135
2002,16 - 24 ára,99,heildartekjur,3198.522102792654,12648.06281912038
2003,16 - 24 ára,10,heildartekjur,3177.991266375546,718.1434809731753
2003,16 - 24 ára,20,heildartekjur,3177.991266375546,1221.6693699313787
2003,16 - 24 ára,30,heildartekjur,3177.991266375546,1670.1651070908713
2003,16 - 24 ára,40,heildartekjur,3177.991266375546,2110.4063214805574
2003,16 - 24 ára,50,heildartekjur,3177.991266375546,2534.13849033063
2003,16 - 24 ára,60,heildartekjur,3177.991266375546,3051.421917238511
2003,16 - 24 ára,70,heildartekjur,3177.991266375546,3725.5412767727175
2003,16 - 24 ára,80,heildartekjur,3177.991266375546,4674.811395300478
2003,16 - 24 ára,90,heildartekjur,3177.991266375546,6207.401122894573
2003,16 - 24 ára,99,heildartekjur,3177.991266375546,12059.85776668746
2004,16 - 24 ára,10,heildartekjur,3201.024582873812,698.8903672607823
2004,16 - 24 ára,20,heildartekjur,3201.024582873812,1200.3842185776796
2004,16 - 24 ára,30,heildartekjur,3201.024582873812,1640.5250987228287
2004,16 - 24 ára,40,heildartekjur,3201.024582873812,2075.3309378965214
2004,16 - 24 ára,50,heildartekjur,3201.024582873812,2528.8094204703116
2004,16 - 24 ára,60,heildartekjur,3201.024582873812,3107.661365873326
2004,16 - 24 ára,70,heildartekjur,3201.024582873812,3806.551733134108
2004,16 - 24 ára,80,heildartekjur,3201.024582873812,4777.529189939164
2004,16 - 24 ára,90,heildartekjur,3201.024582873812,6370.038919918886
2004,16 - 24 ára,99,heildartekjur,3201.024582873812,12227.913906577962
2005,16 - 24 ára,10,heildartekjur,3357.181739408036,818.1367264103617
2005,16 - 24 ára,20,heildartekjur,3357.181739408036,1325.9457290098965
2005,16 - 24 ára,30,heildartekjur,3357.181739408036,1772.2021252337302
2005,16 - 24 ára,40,heildartekjur,3357.181739408036,2203.0703698636385
2005,16 - 24 ára,50,heildartekjur,3357.181739408036,2662.1502257490765
2005,16 - 24 ára,60,heildartekjur,3357.181739408036,3239.205910521275
2005,16 - 24 ára,70,heildartekjur,3357.181739408036,3982.966570894331
2005,16 - 24 ára,80,heildartekjur,3357.181739408036,4972.937656770192
2005,16 - 24 ára,90,heildartekjur,3357.181739408036,6675.893099831258
2005,16 - 24 ára,99,heildartekjur,3357.181739408036,12654.189994071237
2006,16 - 24 ára,10,heildartekjur,3445.289725419779,863.1256185803913
2006,16 - 24 ára,20,heildartekjur,3445.289725419779,1346.3797950000533
2006,16 - 24 ára,30,heildartekjur,3445.289725419779,1779.1447291072134
